A3,MOV
A4,MOVS
,MOVSB
A5,MOVS
,MOVSW
A5,MOVS
,MOVSD
A6,CMPS
,CMPSB
A7,CMPS
,CMPSW
A7,CMPS
,CMPSD
A8,TEST
A9,TEST
AA,STOS
,STOSB
AB,STOS
,STOSW
AB,STOS
,STOSD
AC,LODS
,LODSB
AD,LODS
,LODSW
AD,LODS
,LODSD
AE,SCAS
,SCASB
AF,SCAS
,SCASW
AF,SCAS
,SCASD
B0+r,MOV
B8+r,MOV
C0,ROL
C0,ROR
C0,RCL
C0,RCR
C0,SHL
,SAL
C0,SHR
C0,SAL
,SHL
C0,SAR
C1,ROL
C1,ROR
C1,RCL
C1,RCR
C1,SHL
,SAL
C1,SHR
C1,SAL
,SHL
C1,SAR
C2,RETN
C3,RETN
C4,LES
C5,LDS
C6,MOV
C7,MOV
C8,ENTER
C9,LEAVE
CA,RETF
CB,RETF
CC,INT
CD,INT
CE,INTO
CF,IRET
CF,IRETD
D0,ROL
D0,ROR
D0,RCL
D0,RCR
D0,SHL
,SAL
D0,SHR
D0,SAL
,SHL
D0,SAR
D1,ROL
D1,ROR
D1,RCL
D1,RCR
D1,SHL
,SAL
D1,SHR
D1,SAL
,SHL
D1,SAR
D2,ROL
D2,ROR
D2,RCL
D2,RCR
D2,SHL
,SAL
D2,SHR
D2,SAL
,SHL
D2,SAR
D3,ROL
D3,ROR
D3,RCL
D3,RCR
D3,SHL
,SAL
D3,SHR
D3,SAL
,SHL
D3,SAR
D4,AAM
D4,AMX
D5,AAD
D5,ADX
D6,undefined
D6,SALC
,SETALC
D7,XLAT
,XLATB
D8,FADD
,FADD
D8,FMUL
,FMUL
D8,FCOM
D8,FCOM
D8,FCOMP
D8,FCOMP
D8,FSUB
,FSUB
D8,FSUBR
,FSUBR
D8,FDIV
,FDIV
D8,FDIVR
,FDIVR
D9,FLD
D9,FXCH
D9,FXCH
D9,FST
D9,FNOP
D9,FSTP
D9,FSTP1
D9,FLDENV
D9,FCHS
D9,FABS
D9,FTST
D9,FXAM
D9,FLDCW
D9,FLD1
D9,FLDL2T
D9,FLDL2E
D9,FLDPI
D9,FLDLG2
D9,FLDLN2
D9,FLDZ
D9,FNSTENV
D9,FSTENV
D9,F2XM1
D9,FYL2X
D9,FPTAN
D9,FPATAN
D9,FXTRACT
D9,FPREM1
D9,FDECSTP
D9,FINCSTP
D9,FNSTCW
D9,FSTCW
D9,FPREM
D9,FYL2XP1
D9,FSQRT
D9,FSINCOS
D9,FRNDINT
D9,FSCALE
D9,FSIN
D9,FCOS
DA,FIADD
DA,FCMOVB
DA,FIMUL
DA,FCMOVE
DA,FICOM
DA,FCMOVBE
DA,FICOMP
DA,FCMOVU
DA,FISUB
DA,FISUBR
DA,FUCOMPP
DA,FIDIV
DA,FIDIVR
DB,FILD
DB,FCMOVNB
DB,FISTTP
DB,FCMOVNE
DB,FIST
DB,FCMOVNBE
DB,FISTP
DB,FCMOVNU
DB,FNENI nop
DB,FNDISI nop
DB,FNCLEX
DB,FCLEX
DB,FNINIT
DB,FINIT
DB,FNSETPM nop
DB,FLD
DB,FUCOMI
DB,FCOMI
DB,FSTP
DC,FADD
DC,FADD
DC,FMUL
DC,FMUL
